strategy,day,issue,candidate,score,status,residual,objective
A43_101,32,3,0.65,125.19919308637398,0,0.0,51.20038225035098
A43_101,32,3,0.8,571.6944719383605,0,9.094947017729282e-13,568.4235538879421
A43_101,32,3,0.9,1090.162295224823,0,9.094947017729282e-13,1094.6014803823991
A43_110,32,0,initial,,0,9.094947017729282e-13,61589.869022455205
A43_110,32,2,keep,7.613756539217207,0,0,0
A43_110,32,2,0.5,-1214.819294669193,0,5.684341886080802e-14,-2418.761357057859
A43_110,32,2,0.65,-1862.9370739153617,0,1.1368683772161603e-13,-2054.670559843959
A43_110,32,2,0.8,-1570.4202755004383,0,5.684341886080802e-14,-1591.5005661821526
A43_110,32,2,0.9,-878.562510610099,0,9.094947017729282e-13,-887.1606841091206
A43_110,32,3,keep,90.05017970317131,0,0,0
A43_110,32,3,0.5,245.947231787305,0,9.094947017729282e-13,-151.39686062350557
A43_110,32,3,0.65,98.85254874042505,0,0.0,18.825835073702688
A43_110,32,3,0.8,539.6395733997907,0,9.094947017729282e-13,535.0082231500382
A43_110,32,3,0.9,1057.025194162369,0,9.094947017729282e-13,1061.1861496444956
A43_111,32,0,initial,,0,9.094947017729282e-13,61589.869022455205
A43_111,32,1,keep,67.20846246780074,0,0,0
A43_111,32,1,0.5,524.7805457216564,0,1.1368683772161603e-13,-2961.8376705799838
A43_111,32,1,0.65,-1592.8431135871276,0,9.094947017729282e-13,-2291.083368669732
A43_111,32,1,0.8,-1484.7456024369824,0,2.2737367544323206e-13,-1589.711002183982
A43_111,32,1,0.9,-413.7211456281524,0,9.094947017729282e-13,-458.47532280101956
A43_111,32,2,keep,202.2904354065906,0,0,0
A43_111,32,2,0.5,543.611860586295,0,5.684341886080802e-14,-644.0802000269086
A43_111,32,2,0.65,10.743399362678133,0,1.1368683772161603e-13,-165.6208644145824
A43_111,32,2,0.8,909.7276136708049,0,5.684341886080802e-14,905.6180778774509
A43_111,32,2,0.9,1770.7351690114622,0,9.094947017729282e-13,1780.0767910390955
A43_111,32,3,keep,90.05017970317131,0,0,0
A43_111,32,3,0.5,245.947231787305,0,9.094947017729282e-13,-151.39686062350557
A43_111,32,3,0.65,98.85254874042505,0,0.0,18.825835073702688
A43_111,32,3,0.8,539.6395733997907,0,9.094947017729282e-13,535.0082231500382
A43_111,32,3,0.9,1057.025194162369,0,9.094947017729282e-13,1061.1861496444956
A43_update_only,32,0,initial,,0,9.094947017729282e-13,61356.31940550199
A43_adjust_only,32,0,initial,,0,9.094947017729282e-13,61589.869022455205
