interval_start,interval_end,plot_hour_midpoint,actual_netload_kw,forecast_00_kw,forecast_06_kw,forecast_12_kw,forecast_18_kw
14.333333333333334,14.5,14.416666666666666,237.10249999999996,1272.647132023918,-504.0926179760818,119.69108202391817,
14.5,14.666666666666666,14.583333333333334,421.7596999999996,1686.1473786273991,-81.05822137260111,482.52117862740033,
14.666666666666666,14.833333333333334,14.75,758.1511,1984.7188637536965,227.04741375369667,730.422513753696,
14.833333333333334,15.0,14.916666666666666,1083.8650000000007,2240.7399192158823,492.60261921588244,935.7734192158823,
15.0,15.166666666666666,15.083333333333334,1183.9114,2499.023101719721,855.807335053054,1260.9586350530553,
15.166666666666666,15.333333333333334,15.25,1492.8405999999995,2759.592527741215,1221.2982944078822,1588.4300944078814,
15.333333333333334,15.5,15.416666666666666,2040.8550000000005,3042.685094590688,1609.3123945906882,1938.424694590689,
15.5,15.666666666666666,15.583333333333334,2416.6935999999996,3277.778902290739,1949.3277356240715,2240.4205356240727,
15.666666666666666,15.833333333333334,15.75,2714.7147,3527.3093872465784,2303.7797539132453,2556.8530539132444,
15.833333333333334,16.0,15.916666666666666,3043.945,3689.6436377051705,2571.0355377051706,2786.0893377051707,
16.0,16.166666666666668,16.083333333333332,3373.5693,3899.7658746103602,2917.513407943691,3122.45562461036,
16.166666666666668,16.333333333333332,16.25,3594.4033,4119.415536600608,3273.5187032672775,3468.3493366006087,
16.333333333333332,16.5,16.416666666666668,3784.5375000000004,4299.785783848758,3590.244583848758,3774.963633848758,
16.5,16.666666666666668,16.583333333333332,4132.4133,4485.33695980109,3912.1513931344207,4086.7588598010893,
16.666666666666668,16.833333333333332,16.75,4456.3457,4669.767512595213,4232.937579261882,4397.433462595213,
16.833333333333332,17.0,16.916666666666668,4724.477499999999,4848.283374271325,4547.809074271325,4702.193374271325,
17.0,17.166666666666668,17.083333333333332,5059.394700000001,5059.1384154875195,4808.743165487516,4937.396748820851,
17.166666666666668,17.333333333333332,17.25,5243.1311,5264.795907604657,5064.47970760466,5167.402574271325,
17.333333333333332,17.5,17.416666666666668,5428.3425,5452.365442356692,5302.128292356692,5379.320442356692,
17.5,17.666666666666668,17.583333333333332,5838.5445,5800.449025257521,5700.290925257518,5751.752358590853,
17.666666666666668,17.833333333333332,17.75,5238.0191,5359.134621424507,5309.055571424509,5334.786288091174,
17.833333333333332,18.0,17.916666666666668,4094.12,4315.637414551858,4315.637414551858,4315.637414551858,
18.0,18.166666666666668,18.083333333333332,4187.9837,4089.4093968437196,4089.4093968437196,4089.4093968437196,4089.4093968437196
18.166666666666668,18.333333333333332,18.25,4435.8493,4328.014624893453,4328.014624893453,4328.014624893453,4328.014624893453
18.333333333333332,18.5,18.416666666666668,4255.45,4333.586331890797,4333.586331890797,4333.586331890797,4333.586331890797
18.5,18.666666666666668,18.583333333333332,4286.5369,4328.014624893453,4328.014624893453,4328.014624893453,4328.014624893453
18.666666666666668,18.833333333333332,18.75,4469.846,4317.185668862941,4317.185668862941,4317.185668862941,4317.185668862941
18.833333333333332,19.0,18.916666666666668,4579.24,4233.581842715956,4233.581842715956,4233.581842715956,4233.581842715956
19.0,19.166666666666668,19.083333333333332,4480.3082,4318.599896348599,4318.599896348599,4318.599896348599,4318.599896348599
19.166666666666668,19.333333333333332,19.25,4285.533,4314.960206843497,4314.960206843497,4314.960206843497,4314.960206843497
19.333333333333332,19.5,19.416666666666668,4196.78,4314.771219540121,4314.771219540121,4314.771219540121,4314.771219540121
19.5,19.666666666666668,19.583333333333332,4330.8684,4329.468720308607,4329.468720308607,4329.468720308607,4329.468720308607
19.666666666666668,19.833333333333332,19.75,4370.946,4327.755277116583,4327.755277116583,4327.755277116583,4327.755277116583
19.833333333333332,20.0,19.916666666666668,4358.21,4228.655729816008,4228.655729816008,4228.655729816008,4228.655729816008
20.0,20.166666666666668,20.083333333333332,4586.0191,4321.068301757655,4321.068301757655,4321.068301757655,4321.068301757655
20.166666666666668,20.333333333333332,20.25,4523.6629,4336.640061944896,4336.640061944896,4336.640061944896,4336.640061944896
20.333333333333332,20.5,20.416666666666668,4215.37,4321.653626402697,4321.653626402697,4321.653626402697,4321.653626402697
20.5,20.666666666666668,20.583333333333332,4256.2469,4321.653626402697,4321.653626402697,4321.653626402697,4321.653626402697
20.666666666666668,20.833333333333332,20.75,4319.0159,4336.054737299853,4336.054737299853,4336.054737299853,4336.054737299853
20.833333333333332,21.0,20.916666666666668,4257.25,4336.054737299853,4336.054737299853,4336.054737299853,4336.054737299853
21.0,21.166666666666668,21.083333333333332,4290.2681,4336.640061944896,4336.640061944896,4336.640061944896,4336.640061944896
21.166666666666668,21.333333333333332,21.25,4418.7036,4321.653626402697,4321.653626402697,4321.653626402697,4321.653626402697
21.333333333333332,21.5,21.416666666666668,4553.6,4331.068354947553,4331.068354947553,4331.068354947553,4331.068354947553
21.5,21.666666666666668,21.583333333333332,4526.2528,4336.640061944896,4336.640061944896,4336.640061944896,4336.640061944896
21.666666666666668,21.833333333333332,21.75,4001.6252000000004,3811.0576404911462,3811.0576404911462,3811.0576404911462,3811.0576404911462
21.833333333333332,22.0,21.916666666666668,3318.9399999999996,3322.1492505214874,3322.1492505214874,3322.1492505214874,3322.1492505214874
22.0,22.166666666666668,22.083333333333332,3233.4088,3322.1492505214874,3322.1492505214874,3322.1492505214874,3322.1492505214874
22.166666666666668,22.333333333333332,22.25,3319.9709999999995,3352.9178042751914,3352.9178042751914,3352.9178042751914,3352.9178042751914
22.333333333333332,22.5,22.416666666666668,3255.84,3352.9178042751914,3352.9178042751914,3352.9178042751914,3352.9178042751914
22.5,22.666666666666668,22.583333333333332,3144.1326,3383.515800986923,3383.515800986923,3383.515800986923,3383.515800986923
22.666666666666668,22.833333333333332,22.75,3161.8174,3374.96865003375,3374.96865003375,3374.96865003375,3374.96865003375
22.833333333333332,23.0,22.916666666666668,3296.3999999999996,3342.7786113525513,3342.7786113525513,3342.7786113525513,3342.7786113525513
23.0,23.166666666666668,23.083333333333332,3356.4080999999996,3393.031513025368,3393.031513025368,3393.031513025368,3393.031513025368
23.166666666666668,23.333333333333332,23.25,3261.7676,3394.8208679644954,3394.8208679644954,3394.8208679644954,3394.8208679644954
23.333333333333332,23.5,23.416666666666668,3267.73,3360.335438085562,3360.335438085562,3360.335438085562,3360.335438085562
23.5,23.666666666666668,23.583333333333332,3604.076,3400.449146835739,3400.449146835739,3400.449146835739,3400.449146835739
23.666666666666668,23.833333333333332,23.75,3245.8691,2956.835647592007,2956.835647592007,2956.835647592007,2956.835647592007
23.833333333333332,24.0,23.916666666666668,2401.0,2479.318021931927,2479.318021931927,2479.318021931927,2479.318021931927
