日期,时段结束,实际净负荷_kW,q20_kW,q50_kW,q65_kW,q80_kW,q90_kW
2025-11-05,18:40,4377.4472000000005,4245.19285890834,4369.2705558995485,4422.394999426734,4497.564455294638,4514.979550613663
2025-11-05,18:50,4426.6976,4235.4678162662485,4380.342571034629,4404.155756365871,4497.022013396066,4534.7307325209085
2025-11-05,19:00,4164.17,4264.087139366249,4387.761592882139,4432.775079465871,4525.641336496066,4568.588240566193
2025-11-05,19:10,4183.8475,4250.218190951273,4377.180648265202,4438.151710540219,4507.8279722828565,4519.918599227157
2025-11-05,19:20,4298.4776,4256.596182714118,4383.558640028046,4448.746966766763,4514.072839029496,4536.354400647411
2025-11-05,19:30,4346.72,4211.657512116208,4375.113014957478,4412.38580648552,4447.397517639354,4473.967206301361
2025-11-05,19:40,4368.7132,4215.090308006188,4378.545810847459,4415.818602375501,4450.8303135293345,4517.201909927358
2025-11-05,19:50,4292.1131,4238.660865920642,4381.221406472194,4395.408656953191,4474.400871443789,4513.37654356234
2025-11-05,20:00,4159.14,4253.890775802577,4386.3563160871,4411.139339857768,4489.630781325724,4543.811567019435
2025-11-05,20:10,4125.7766,4254.483287143942,4373.8623606625715,4386.319981126351,4490.223292667089,4540.994935825316
2025-11-05,20:20,4216.7307,4257.806951980804,4377.1860254994335,4386.319981126351,4499.572579794187,4539.179306897516
2025-11-05,20:30,4298.97,4267.938287208582,4386.3563160871,4402.697088006345,4506.426803408699,4546.873817263423
2025-11-05,20:40,4234.3764,4261.116421066188,4399.197073074284,4426.2993830979785,4535.476938530385,4542.378421796422
2025-11-05,20:50,4334.7636,4243.106413082054,4395.009947791732,4447.858069077178,4529.540076598663,4531.923865830841
2025-11-05,21:00,4501.94,4252.98507554052,4405.000244377722,4445.328690593473,4537.9735052852,4539.418739057129
2025-11-05,21:10,4320.779,4249.925138586862,4402.496514886678,4445.422324268612,4529.816199614581,4535.170135709305
2025-11-05,21:20,4185.7895,4216.664258494015,4412.938215974075,4458.542934598206,4513.107954896075,4513.595591842726
2025-11-05,21:30,4290.1,4214.549759865398,4408.751090691523,4492.384232523454,4503.3672126141855,4528.500962747788
2025-11-05,21:40,4375.2818,4206.136274573128,4409.488049304151,4455.888649965261,4500.275148222707,4519.442754877039
2025-11-05,21:50,4041.7361,3632.4517840480044,3666.146414539605,3860.4497305923164,3881.0919534106574,4059.1142213840812
2025-11-05,22:00,3470.54,3182.4593791871007,3203.4183254271925,3352.9975371729342,3370.994396245743,3374.202470641057
2025-11-05,22:10,3281.6241,3188.2733377342374,3213.728224265092,3219.0475052885026,3366.604215725025,3398.012127610655
2025-11-05,22:20,3401.2141,3264.371052578938,3386.6299103080946,3419.4399227162376,3472.574903519123,3491.541715243876
2025-11-05,22:30,3501.51,3158.5541738407137,3326.077839045728,3327.227406661689,3378.184386358887,3386.0415972612
2025-11-05,22:40,3343.2107,3163.8413355735934,3171.3303011649,3270.561665484161,3291.5216567399207,3391.920314658391
2025-11-05,22:50,3311.9445,3135.024569087936,3142.5135346792426,3222.140664963934,3262.7048902542633,3265.274078051608
2025-11-05,23:00,3391.08,3199.539462758244,3201.240455324379,3346.4154782086102,3463.0026283434977,3498.785959469999
2025-11-05,23:10,3216.8527,3218.70120335987,3244.4136844006634,3369.561290163931,3458.949482088012,3490.7059855907028
2025-11-05,23:20,3243.8664,3071.8499266582257,3311.743913087476,3315.096280393857,3358.110061534649,3362.533681138196
2025-11-05,23:30,3447.82,3123.878128113075,3336.20913303645,3359.4838885530758,3402.6676817108637,3405.187193440029
2025-11-05,23:40,3321.5795,3157.9889657578065,3345.9409791946377,3351.1508800508905,3387.15460263789,3387.686488108199
2025-11-05,23:50,3171.5571,3250.604561640362,3380.9839808492034,3408.4899305388176,3439.291642155455,3450.9506386564394
